epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,23562.9,0.85311,1.83472,1.02069,0.4328,0.4194,0.38488,0.32482,0.68395,1.84674,0.96231,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,24274.2,0.83842,1.80689,1.01611,0.42923,0.41796,0.38719,0.32738,0.683,1.84382,0.96193,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,24989.3,0.83299,1.78432,1.00955,0.43414,0.41389,0.38793,0.32836,0.68195,1.84126,0.96152,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,25699.5,0.83084,1.75426,1.00944,0.41848,0.42673,0.3882,0.32893,0.68063,1.83811,0.96084,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,26410,0.83502,1.74396,1.00977,0.4244,0.4283,0.39078,0.33128,0.67935,1.83513,0.96039,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,27135.7,0.82836,1.71839,1.00615,0.42908,0.42851,0.39172,0.33218,0.67808,1.83188,0.95984,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,27846.5,0.81652,1.69376,0.99921,0.43422,0.42991,0.39727,0.3368,0.6778,1.82981,0.95972,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,28558.5,0.81302,1.6689,0.99771,0.43108,0.43239,0.39874,0.33795,0.67693,1.82708,0.95946,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,29271.8,0.80997,1.64709,0.99807,0.44014,0.43263,0.39945,0.33815,0.67553,1.82473,0.95879,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,29996.3,0.80302,1.63032,0.99142,0.44018,0.43578,0.40145,0.33951,0.67477,1.82209,0.95849,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,30715.3,0.80283,1.60722,0.99192,0.45157,0.42575,0.40419,0.3413,0.67375,1.81939,0.95804,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,31432.8,0.80093,1.58909,0.99119,0.455,0.42166,0.40592,0.34268,0.67311,1.8181,0.95752,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,32147.5,0.804,1.56297,0.99389,0.46187,0.42069,0.4059,0.34314,0.67205,1.81568,0.9568,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,32856.3,0.79553,1.54971,0.9896,0.47014,0.42486,0.408,0.34426,0.67167,1.81414,0.95657,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,33570.5,0.78283,1.52028,0.9817,0.46995,0.42795,0.4107,0.34681,0.67069,1.8123,0.95593,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,34280.9,0.78688,1.51535,0.98806,0.47262,0.4229,0.41192,0.34785,0.67001,1.81153,0.95553,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,34987.5,0.77884,1.47119,0.9827,0.47563,0.42226,0.41082,0.34801,0.66944,1.81002,0.95517,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,35693.4,0.77384,1.46027,0.97912,0.47517,0.42761,0.41122,0.34905,0.66881,1.80943,0.95485,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,36418.8,0.77262,1.4333,0.97623,0.46164,0.43784,0.41451,0.35184,0.66856,1.80878,0.95464,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,37127.8,0.77098,1.42396,0.97864,0.4656,0.43699,0.41832,0.35516,0.66822,1.80913,0.95457,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,37839.3,0.76524,1.39951,0.97436,0.46537,0.44143,0.41924,0.35603,0.66773,1.81017,0.95417,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,38546.4,0.76219,1.37164,0.97152,0.46842,0.44369,0.4226,0.35887,0.66711,1.81166,0.95372,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,39256,0.75877,1.35467,0.96744,0.47245,0.44031,0.42168,0.35806,0.6672,1.81338,0.9538,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,39969.7,0.74921,1.34822,0.96709,0.48261,0.44387,0.42294,0.35966,0.66691,1.8146,0.95357,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
